time,open,high,low,close
-2556005400,5.24,5.24,5.24,5.24
-2553327000,5.3,5.3,5.3,5.3
-2550907800,5.19,5.19,5.19,5.19
-2548229400,5.18,5.18,5.18,5.18
-2545637400,5.32,5.32,5.32,5.32
-2540367000,5.3,5.3,5.3,5.3
-2537688600,5.37,5.37,5.37,5.37
-2532418200,5.4,5.4,5.4,5.4
-2529739800,5.35,5.35,5.35,5.35
-2524469400,5.38,5.38,5.38,5.38
-2516693400,5.39,5.39,5.39,5.39
-2514101400,5.62,5.62,5.62,5.62
-2508831000,5.54,5.54,5.54,5.54
-2506152600,5.41,5.41,5.41,5.41
-2503474200,5.32,5.32,5.32,5.32
-2500882200,5.08,5.08,5.08,5.08
-2495611800,4.6,4.6,4.6,4.6
-2492933400,4.84,4.84,4.84,4.84
-2485157400,4.97,4.97,4.97,4.97
-2482565400,4.95,4.95,4.95,4.95
-2479887000,4.85,4.85,4.85,4.85
-2477295000,4.77,4.77,4.77,4.77
-2471938200,5.33,5.33,5.33,5.33
-2469346200,5.33,5.33,5.33,5.33
-2464075800,5.41,5.41,5.41,5.41
-2461397400,5.51,5.51,5.51,5.51
-2458719000,5.52,5.52,5.52,5.52
-2456213400,5.58,5.58,5.58,5.58
-2453535000,5.57,5.57,5.57,5.57
-2448264600,5.54,5.54,5.54,5.54
-2445672600,5.54,5.54,5.54,5.54
-2442994200,5.62,5.62,5.62,5.62
-2440315800,5.48,5.48,5.48,5.48
-2435045400,5.57,5.57,5.57,5.57
-2432453400,5.51,5.51,5.51,5.51
-2427096600,5.51,5.51,5.51,5.51
-2424677400,5.31,5.31,5.31,5.31
-2419407000,4.84,4.84,4.84,4.84
-2416728600,4.61,4.61,4.61,4.61
-2411458200,4.08,4.08,4.08,4.08
-2408779800,4.37,4.37,4.37,4.37
-2403509400,4.57,4.57,4.57,4.57
-2400917400,4.41,4.41,4.41,4.41
-2398239000,4.32,4.32,4.32,4.32
-2395560600,4.38,4.38,4.38,4.38
-2393141400,4.51,4.51,4.51,4.51
-2387871000,4.4,4.4,4.4,4.4
