time,open,high,low,close
-4323287038,20.65,20.65,20.65,20.65
-4291751038,20.65,20.65,20.65,20.65
-4260215038,20.65,20.65,20.65,20.65
-4228679038,20.65,20.65,20.65,20.65
-4196970238,20.65,20.65,20.65,20.65
-4165520638,20.65,20.65,20.65,20.65
-4070826238,20.65,20.65,20.65,20.65
-4039117438,20.65,20.65,20.65,20.65
-4007667838,20.65,20.65,20.65,20.65
-3976218238,20.65,20.65,20.65,20.65
-3913059838,20.65,20.65,20.65,20.65
-3881523838,20.65,20.65,20.65,20.65
-3849815038,20.65,20.65,20.65,20.65
-3818365438,20.65,20.65,20.65,20.65
-3723757438,20.65,20.65,20.65,20.65
-3691962238,20.65,20.65,20.65,20.65
-3660512638,20.65,20.65,20.65,20.65
-3629063038,20.65,20.65,20.65,20.65
-3565904638,20.65,20.65,20.65,20.65
-3534368638,20.65,20.65,20.65,20.65
-3502659838,20.65,20.65,20.65,20.65
-3471210238,20.65,20.65,20.65,20.65
-3376602238,20.65,20.65,20.65,20.65
-3345066238,20.65,20.65,20.65,20.65
-3313357438,20.65,20.65,20.65,20.65
-3281907838,20.65,20.65,20.65,20.65
-3187213438,20.65,20.65,20.65,20.65
-3155504638,20.65,20.65,20.65,20.65
-3124055038,20.65,20.65,20.65,20.65
-3092605438,20.66,20.66,20.66,20.66
-3029447038,20.66,20.66,20.66,20.66
-2997911038,20.66,20.66,20.66,20.66
-2966202238,20.66,20.66,20.66,20.66
-2934752638,20.66,20.66,20.66,20.66
-2840144638,20.66,20.66,20.66,20.66
-2808349438,20.66,20.66,20.66,20.66
-2776899838,20.66,20.66,20.66,20.66
-2745450238,20.66,20.66,20.66,20.66
-2682291600,20.66,20.66,20.66,20.66
-2650755600,20.65,20.65,20.65,20.65
-2619046800,20.65,20.65,20.65,20.65
-2587597200,20.65,20.65,20.65,20.65
-2492989200,20.68,20.68,20.68,20.68
-2461453200,20.68,20.68,20.68,20.68
-2429744400,20.68,20.68,20.68,20.68
-2398294800,20.66,20.66,20.66,20.66
-2303600400,20.71,20.71,20.71,20.71
-2271891600,20.71,20.71,20.71,20.71
-2240442000,20.66,20.66,20.66,20.66
-2208992400,20.68,20.68,20.68,20.68
-2114384400,20.67,20.67,20.67,20.67
-2082848400,20.68,20.68,20.68,20.68
-2051139600,20.54,20.54,20.54,20.54
-2019690000,20.62,20.62,20.62,20.62
-1924995600,20.68,20.68,20.68,20.68
-1893286800,20.64,20.64,20.64,20.64
-1861837200,20.64,20.64,20.64,20.64
-1830387600,20.65,20.65,20.65,20.65
-1767229200,20.72,20.72,20.72,20.72
-1735693200,20.72,20.72,20.72,20.72
-1703984400,20.72,20.72,20.72,20.72
-1672534800,20.72,20.72,20.72,20.72
-1577926800,20.68,20.68,20.68,20.68
-1546131600,20.69,20.69,20.58,20.58
-1543626000,20.69,20.69,20.69,20.69
-1541206800,20.69,20.69,20.69,20.69
-1538528400,20.69,20.69,20.69,20.69
-1535853600,20.69,20.69,20.69,20.69
-1533261600,20.69,20.69,20.69,20.69
-1530669600,20.69,20.69,20.69,20.69
-1527991200,20.69,20.69,20.69,20.69
-1525312800,20.69,20.69,20.69,20.69
-1522544400,20.69,20.69,20.69,20.69
-1520038800,20.69,20.69,20.69,20.69
-1517446800,20.69,20.69,20.69,20.69
-1514682000,20.84,20.84,20.84,20.84
-1512090000,20.84,20.84,20.84,20.84
-1509670800,20.84,20.84,20.84,20.84
-1506819600,20.84,20.84,20.84,20.84
-1504404000,20.84,20.84,20.84,20.84
-1501725600,20.84,20.84,20.84,20.84
-1498960800,20.84,20.84,20.84,20.84
-1496455200,20.84,20.84,20.84,20.84
-1493776800,20.84,20.84,20.84,20.84
-1491094800,20.84,20.84,20.84,20.84
-1488502800,20.84,20.84,20.84,20.84
-1485910800,20.84,20.84,20.84,20.84
-1483232400,20.75,20.75,20.75,20.75
-1480554000,20.75,20.75,20.75,20.75
-1478134800,20.75,20.75,20.75,20.75
-1475370000,20.75,20.75,20.75,20.75
-1472868000,20.75,20.75,20.75,20.75
-1470189600,20.75,20.75,20.75,20.75
-1467511200,20.75,20.75,20.75,20.75
-1464919200,20.75,20.75,20.75,20.75
-1462068000,20.75,20.75,20.75,20.75
-1459645200,20.75,20.75,20.75,20.75
-1456966800,20.75,20.75,20.75,20.75
-1454202000,20.75,20.75,20.75,20.75
-1451696400,20.78,20.78,20.78,20.78
-1449018000,20.78,20.78,20.78,20.78
-1446339600,20.78,20.78,20.78,20.78
-1443834000,20.78,20.78,20.78,20.78
-1441245600,20.78,20.78,20.78,20.78
-1438480800,20.78,20.78,20.78,20.78
-1435975200,20.78,20.78,20.78,20.78
-1433296800,20.78,20.78,20.78,20.78
-1430618400,20.78,20.78,20.78,20.78
-1428022800,20.78,20.78,20.78,20.78
-1425171600,20.78,20.78,20.78,20.78
-1422752400,20.78,20.78,20.78,20.78
-1420074000,20.75,20.75,20.75,20.75
