time,open,high,low,close
-265680000,2.97,2.97,2.97,2.97
-263001600,2.97,2.97,2.97,2.97
-257727600,2.97,2.97,2.97,2.97
-255135600,2.97,2.97,2.97,2.97
-252464400,2.97,2.97,2.97,2.97
-249778800,2.97,2.97,2.97,2.97
-247359600,2.97,2.97,2.97,2.97
-242092800,2.97,2.97,2.97,2.97
-239414400,2.97,2.97,2.97,2.97
-234144000,2.97,2.97,2.97,2.97
-228880800,2.97,2.97,2.97,2.97
-226191600,2.97,2.97,2.97,2.97
-220921200,2.97,2.97,2.97,2.97
-218242800,2.97,2.97,2.97,2.97
-215823600,2.97,2.97,2.97,2.97
-213156000,2.97,2.97,2.97,2.97
-210556800,2.97,2.97,2.97,2.97
-205293600,2.97,2.97,2.97,2.97
-202608000,2.97,2.97,2.97,2.97
-197337600,2.97,2.97,2.97,2.97
-194655600,2.97,2.97,2.97,2.97
-189385200,2.97,2.97,2.97,2.97
-181526400,2.97,2.97,2.97,2.97
-178934400,2.97,2.97,2.97,2.97
-176263200,2.97,2.97,2.97,2.97
-173664000,2.92,2.92,2.92,2.92
-168307200,2.92,2.92,2.92,2.92
-165715200,2.92,2.92,2.92,2.92
-160441200,2.92,2.92,2.92,2.92
-157762800,2.92,2.92,2.92,2.92
-155091600,2.92,2.92,2.92,2.92
-152672400,2.92,2.92,2.92,2.92
-149990400,2.92,2.92,2.92,2.92
-144720000,2.92,2.92,2.92,2.92
-142128000,2.92,2.92,2.92,2.92
-136771200,2.92,2.92,2.92,2.92
-134179200,2.92,2.92,2.92,2.92
-131504400,2.92,2.92,2.92,2.92
-128905200,2.92,2.92,2.92,2.92
-123548400,2.92,2.92,2.92,2.92
-121129200,2.92,2.92,2.92,2.92
-118454400,2.92,2.92,2.92,2.92
-113184000,2.92,2.92,2.92,2.92
-110592000,2.92,2.92,2.92,2.92
-107920800,2.92,2.92,2.92,2.92
-105235200,2.97,2.97,2.97,2.97
-99961200,2.97,2.97,2.97,2.97
-97369200,2.97,2.97,2.97,2.97
-92012400,3,3,3,3
-89593200,3,3,3,3
-84333600,3,3,3,3
-81648000,3,3,3,3
-76377600,3.07,3.07,3.07,3.07
-73699200,3.07,3.07,3.07,3.07
-68425200,3.07,3.07,3.07,3.07
-65833200,3.07,3.07,3.07,3.07
-63162000,3.07,3.07,3.07,3.07
-60476400,3.07,3.07,3.07,3.07
-57974400,3.07,3.07,3.07,3.07
-55303200,3.07,3.07,3.07,3.07
-52704000,3.07,3.07,3.07,3.07
-47440800,3.07,3.07,3.07,3.07
-44755200,3.07,3.07,3.07,3.07
-39484800,3.07,3.07,3.07,3.07
-36806400,3.07,3.07,3.07,3.07
-31536000,3.07,3.07,3.07,3.07
