date,timestamp,open,high,low,close,volume
1935-01-01,-1104541200,35,35,35,35,0
1935-02-01,-1101862800,35,35,35,35,0
1935-03-01,-1099443600,35,35,35,35,0
1935-04-01,-1096765200,35,35,35,35,0
1935-04-30,-1094176800,35,35,35,35,0
1935-06-02,-1091325600,35,35,35,35,0
1935-06-30,-1088906400,35,35,35,35,0
1935-07-31,-1086228000,35,35,35,35,0
1935-09-01,-1083463200,35,35,35,35,0
1935-10-01,-1080954000,35,35,35,35,0
1935-11-01,-1078275600,35,35,35,35,0
1935-12-02,-1075597200,35,35,35,35,0
1936-01-01,-1073005200,35,35,35,35,0
1936-02-03,-1070154000,35,35,35,35,0
1936-03-02,-1067734800,35,35,35,35,0
1936-04-01,-1065142800,35,35,35,35,0
1936-04-30,-1062554400,35,35,35,35,0
1936-05-31,-1059876000,35,35,35,35,0
1936-06-30,-1057284000,35,35,35,35,0
1936-08-02,-1054432800,35,35,35,35,0
1936-08-31,-1051927200,35,35,35,35,0
1936-10-01,-1049331600,35,35,35,35,0
1936-11-02,-1046566800,35,35,35,35,0
1936-12-01,-1044061200,35,35,35,35,0
1937-01-01,-1041382800,35,35,35,35,0
1937-02-01,-1038704400,35,35,35,35,0
1937-03-01,-1036285200,35,35,35,35,0
1937-04-01,-1033606800,35,35,35,35,0
1937-05-02,-1030845600,35,35,35,35,0
1937-05-31,-1028340000,35,35,35,35,0
1937-06-30,-1025748000,35,35,35,35,0
1937-08-01,-1022983200,35,35,35,35,0
1937-08-31,-1020391200,35,35,35,35,0
1937-10-01,-1017795600,35,35,35,35,0
1937-11-01,-1015117200,35,35,35,35,0
1937-12-01,-1012525200,35,35,35,35,0
1938-01-03,-1009674000,35,35,35,35,0
1938-02-01,-1007168400,35,35,35,35,0
1938-03-01,-1004749200,35,35,35,35,0
1938-04-01,-1002070800,35,35,35,35,0
1938-05-01,-999396000,35,35,35,35,0
1938-05-31,-996804000,35,35,35,35,0
1938-06-30,-994212000,35,35,35,35,0
1938-07-31,-991533600,35,35,35,35,0
1938-08-31,-988855200,35,35,35,35,0
1938-10-03,-986086800,35,35,35,35,0
1938-11-01,-983581200,35,35,35,35,0
1938-12-01,-980989200,35,35,35,35,0
1939-01-02,-978224400,34.69,34.69,34.69,34.69,0
1939-02-01,-975632400,34.69,34.69,34.69,34.69,0
1939-03-01,-973213200,34.69,34.69,34.69,34.69,0
1939-04-03,-970362000,34.69,34.69,34.69,34.69,0
1939-04-30,-967946400,34.69,34.69,34.69,34.69,0
1939-05-31,-965268000,34.69,34.69,34.69,34.69,0
1939-07-02,-962503200,34.69,34.69,34.69,34.69,0
1939-07-31,-959997600,34.69,34.69,34.69,34.69,0
1939-08-31,-957319200,34.69,34.69,34.69,34.69,0
1939-10-02,-954637200,34.69,34.69,34.69,34.69,0
1939-11-01,-952045200,34.69,34.69,34.69,34.69,0
1939-12-01,-949453200,34.69,34.69,34.69,34.69,0
1940-01-01,-946774800,34.06,34.06,34.06,34.06,0
1940-02-01,-944096400,34.06,34.06,34.06,34.06,0
1940-03-01,-941590800,34.06,34.06,34.06,34.06,0
1940-04-01,-938912400,34.06,34.06,34.06,34.06,0
1940-05-01,-936324000,34.06,34.06,34.06,34.06,0
1940-06-03,-933472800,34.06,34.06,34.06,34.06,0
1940-07-01,-931053600,34.06,34.06,34.06,34.06,0
1940-08-01,-928375200,34.06,34.06,34.06,34.06,0
1940-09-02,-925610400,34.06,34.06,34.06,34.06,0
1940-10-01,-923101200,34.06,34.06,34.06,34.06,0
1940-11-01,-920422800,34.06,34.06,34.06,34.06,0
1940-12-02,-917744400,34.06,34.06,34.06,34.06,0
1941-01-01,-915152400,34.06,34.06,34.06,34.06,0
1941-02-03,-912301200,34.06,34.06,34.06,34.06,0
1941-03-03,-909882000,34.06,34.06,34.06,34.06,0
1941-04-01,-907376400,34.06,34.06,34.06,34.06,0
1941-05-01,-904788000,34.06,34.06,34.06,34.06,0
1941-06-02,-902023200,34.06,34.06,34.06,34.06,0
1941-07-01,-899517600,34.06,34.06,34.06,34.06,0
1941-08-01,-896839200,34.06,34.06,34.06,34.06,0
1941-09-01,-894160800,34.06,34.06,34.06,34.06,0
1941-10-01,-891565200,34.06,34.06,34.06,34.06,0
1941-11-03,-888714000,34.06,34.06,34.06,34.06,0
1941-12-01,-886294800,34.06,34.06,34.06,34.06,0
1942-01-01,-883616400,34.06,34.06,34.06,34.06,0
1942-02-02,-880851600,34.06,34.06,34.06,34.06,0
1942-03-02,-878436000,34.06,34.06,34.06,34.06,0
1942-04-01,-875844000,34.06,34.06,34.06,34.06,0
1942-05-01,-873252000,34.06,34.06,34.06,34.06,0
1942-06-01,-870573600,34.06,34.06,34.06,34.06,0
1942-07-01,-867981600,34.06,34.06,34.06,34.06,0
1942-08-03,-865130400,34.06,34.06,34.06,34.06,0
1942-09-01,-862624800,34.06,34.06,34.06,34.06,0
1942-10-01,-860032800,34.06,34.06,34.06,34.06,0
1942-11-02,-857268000,34.06,34.06,34.06,34.06,0
1942-11-30,-854762400,34.06,34.06,34.06,34.06,0
1942-12-31,-852084000,34.06,34.06,34.06,34.06,0
1943-01-31,-849405600,34.06,34.06,34.06,34.06,0
1943-02-28,-846986400,34.06,34.06,34.06,34.06,0
1943-04-01,-844308000,34.06,34.06,34.06,34.06,0
1943-05-03,-841543200,34.06,34.06,34.06,34.06,0
1943-06-01,-839037600,34.06,34.06,34.06,34.06,0
1943-07-01,-836445600,34.06,34.06,34.06,34.06,0
1943-08-02,-833680800,34.06,34.06,34.06,34.06,0
1943-09-01,-831088800,34.06,34.06,34.06,34.06,0
1943-10-01,-828496800,34.06,34.06,34.06,34.06,0
1943-10-31,-825818400,34.06,34.06,34.06,34.06,0
1943-11-30,-823226400,34.06,34.06,34.06,34.06,0
1944-01-02,-820375200,34.06,34.06,34.06,34.06,0
1944-01-31,-817869600,34.06,34.06,34.06,34.06,0
1944-02-29,-815364000,34.06,34.06,34.06,34.06,0
1944-04-02,-812512800,34.06,34.06,34.06,34.06,0
1944-05-01,-810093600,34.06,34.06,34.06,34.06,0
1944-06-01,-807415200,34.06,34.06,34.06,34.06,0
1944-07-03,-804650400,34.06,34.06,34.06,34.06,0
1944-08-01,-802144800,34.06,34.06,34.06,34.06,0
1944-09-01,-799466400,34.06,34.06,34.06,34.06,0
1944-10-02,-796788000,34.06,34.06,34.06,34.06,0
1944-10-31,-794196000,34.06,34.06,34.06,34.06,0
1944-11-30,-791604000,34.06,34.06,34.06,34.06,0
1944-12-31,-788925600,35,35,35,35,0
1945-01-31,-786247200,35,35,35,35,0
1945-02-28,-783828000,35,35,35,35,0
1945-04-01,-781063200,35,35,35,35,0
1945-05-01,-778557600,35,35,35,35,0
1945-06-01,-775879200,35,35,35,35,0
1945-07-02,-773200800,35,35,35,35,0
1945-08-01,-770608800,35,35,35,35,0
1945-09-03,-767757600,35,35,35,35,0
1945-10-01,-765334800,35,35,35,35,0
1945-11-01,-762656400,35,35,35,35,0
1945-12-03,-759891600,35,35,35,35,0
1946-01-01,-757386000,35,35,35,35,0
1946-02-01,-754707600,35,35,35,35,0
1946-03-01,-752288400,35,35,35,35,0
1946-04-01,-749610000,35,35,35,35,0
1946-05-01,-747021600,35,35,35,35,0
1946-06-03,-744170400,35,35,35,35,0
1946-07-01,-741751200,35,35,35,35,0
1946-08-01,-739072800,35,35,35,35,0
