date,timestamp,open,high,low,close,volume
1961-08-01,-265680000,2.97,2.97,2.97,2.97,0
1961-09-01,-263001600,2.97,2.97,2.97,2.97,0
1961-11-01,-257727600,2.97,2.97,2.97,2.97,0
1961-12-01,-255135600,2.97,2.97,2.97,2.97,0
1962-01-01,-252464400,2.97,2.97,2.97,2.97,0
1962-02-01,-249778800,2.97,2.97,2.97,2.97,0
1962-03-01,-247359600,2.97,2.97,2.97,2.97,0
1962-05-01,-242092800,2.97,2.97,2.97,2.97,0
1962-06-01,-239414400,2.97,2.97,2.97,2.97,0
1962-08-01,-234144000,2.97,2.97,2.97,2.97,0
1962-09-30,-228880800,2.97,2.97,2.97,2.97,0
1962-11-01,-226191600,2.97,2.97,2.97,2.97,0
1963-01-01,-220921200,2.97,2.97,2.97,2.97,0
1963-02-01,-218242800,2.97,2.97,2.97,2.97,0
1963-03-01,-215823600,2.97,2.97,2.97,2.97,0
1963-03-31,-213156000,2.97,2.97,2.97,2.97,0
1963-05-01,-210556800,2.97,2.97,2.97,2.97,0
1963-06-30,-205293600,2.97,2.97,2.97,2.97,0
1963-08-01,-202608000,2.97,2.97,2.97,2.97,0
1963-10-01,-197337600,2.97,2.97,2.97,2.97,0
1963-11-01,-194655600,2.97,2.97,2.97,2.97,0
1964-01-01,-189385200,2.97,2.97,2.97,2.97,0
1964-04-01,-181526400,2.97,2.97,2.97,2.97,0
1964-05-01,-178934400,2.97,2.97,2.97,2.97,0
1964-05-31,-176263200,2.97,2.97,2.97,2.97,0
1964-07-01,-173664000,2.92,2.92,2.92,2.92,0
1964-09-01,-168307200,2.92,2.92,2.92,2.92,0
1964-10-01,-165715200,2.92,2.92,2.92,2.92,0
1964-12-01,-160441200,2.92,2.92,2.92,2.92,0
1965-01-01,-157762800,2.92,2.92,2.92,2.92,0
1965-02-01,-155091600,2.92,2.92,2.92,2.92,0
1965-03-01,-152672400,2.92,2.92,2.92,2.92,0
1965-04-01,-149990400,2.92,2.92,2.92,2.92,0
1965-06-01,-144720000,2.92,2.92,2.92,2.92,0
1965-07-01,-142128000,2.92,2.92,2.92,2.92,0
1965-09-01,-136771200,2.92,2.92,2.92,2.92,0
1965-10-01,-134179200,2.92,2.92,2.92,2.92,0
1965-11-01,-131504400,2.92,2.92,2.92,2.92,0
1965-12-01,-128905200,2.92,2.92,2.92,2.92,0
1966-02-01,-123548400,2.92,2.92,2.92,2.92,0
1966-03-01,-121129200,2.92,2.92,2.92,2.92,0
1966-04-01,-118454400,2.92,2.92,2.92,2.92,0
1966-06-01,-113184000,2.92,2.92,2.92,2.92,0
1966-07-01,-110592000,2.92,2.92,2.92,2.92,0
1966-07-31,-107920800,2.92,2.92,2.92,2.92,0
1966-09-01,-105235200,2.97,2.97,2.97,2.97,0
1966-11-01,-99961200,2.97,2.97,2.97,2.97,0
1966-12-01,-97369200,2.97,2.97,2.97,2.97,0
1967-02-01,-92012400,3,3,3,3,0
1967-03-01,-89593200,3,3,3,3,0
1967-04-30,-84333600,3,3,3,3,0
1967-06-01,-81648000,3,3,3,3,0
1967-08-01,-76377600,3.07,3.07,3.07,3.07,0
1967-09-01,-73699200,3.07,3.07,3.07,3.07,0
1967-11-01,-68425200,3.07,3.07,3.07,3.07,0
1967-12-01,-65833200,3.07,3.07,3.07,3.07,0
1968-01-01,-63162000,3.07,3.07,3.07,3.07,0
1968-02-01,-60476400,3.07,3.07,3.07,3.07,0
1968-03-01,-57974400,3.07,3.07,3.07,3.07,0
1968-03-31,-55303200,3.07,3.07,3.07,3.07,0
1968-05-01,-52704000,3.07,3.07,3.07,3.07,0
1968-06-30,-47440800,3.07,3.07,3.07,3.07,0
1968-08-01,-44755200,3.07,3.07,3.07,3.07,0
1968-10-01,-39484800,3.07,3.07,3.07,3.07,0
1968-11-01,-36806400,3.07,3.07,3.07,3.07,0
1969-01-01,-31536000,3.07,3.07,3.07,3.07,0
1969-04-01,-23760000,3.35,3.35,3.35,3.35,0
1969-05-01,-21168000,3.35,3.35,3.35,3.35,0
1969-07-01,-15897600,3.35,3.35,3.35,3.35,0
1969-08-01,-13219200,3.35,3.35,3.35,3.35,0
1969-08-31,-10548000,3.35,3.35,3.35,3.35,0
1969-10-01,-7948800,3.35,3.35,3.35,3.35,0
1969-11-30,-2685600,3.35,3.35,3.35,3.35,0
1970-01-01,0,3.35,3.35,3.35,3.35,0
1970-04-01,7776000,3.35,3.35,3.35,3.35,0
1970-05-01,10368000,3.35,3.35,3.35,3.35,0
1970-05-31,13039200,3.35,3.35,3.35,3.35,0
1970-07-01,15638400,3.31,3.31,3.31,3.31,0
1970-09-01,20995200,3.31,3.31,3.31,3.31,0
1970-10-01,23587200,3.31,3.31,3.31,3.31,0
1970-12-01,28857600,3.56,3.56,3.56,3.56,0
1971-01-01,31536000,3.56,3.56,3.56,3.56,0
1971-01-31,34207200,3.56,3.56,3.56,3.56,0
1971-02-28,36626400,3.56,3.56,3.56,3.56,0
1971-04-01,39312000,3.56,3.56,3.56,3.56,0
1971-06-01,44582400,3.56,3.56,3.56,3.56,0
1971-07-01,47174400,3.56,3.56,3.56,3.56,0
1971-09-01,52531200,3.56,3.56,3.56,3.56,0
1971-10-01,55123200,3.56,3.56,3.56,3.56,0
1971-11-01,57798000,3.56,3.56,3.56,3.56,0
1971-12-01,60397200,3.56,3.56,3.56,3.56,0
1972-02-01,65754000,3.56,3.56,3.56,3.56,0
1972-03-01,68259600,3.56,3.56,3.56,3.56,0
1972-04-30,73519200,3.56,3.56,3.56,3.56,0
1972-06-01,76204800,3.56,3.56,3.56,3.56,0
1972-08-01,81475200,3.56,3.56,3.56,3.56,0
1972-09-01,84153600,3.56,3.56,3.56,3.56,0
1972-11-01,89427600,3.56,3.56,3.56,3.56,0
1972-12-01,92019600,3.56,3.56,3.56,3.56,0
1973-01-01,94690800,3.56,3.56,3.56,3.56,0
1973-02-01,97376400,3.56,3.56,3.56,3.56,0
1973-03-01,99795600,3.56,3.56,3.56,3.56,0
1973-05-01,105062400,3.56,3.56,3.56,3.56,0
1973-06-01,107740800,3.56,3.56,3.56,3.56,0
1973-08-01,113011200,4.31,4.31,4.31,4.31,0
1973-09-30,118274400,4.31,4.31,4.31,4.31,0
1973-11-01,120963600,4.31,4.31,4.31,4.31,0
1974-01-01,126234000,10.11,10.11,10.11,10.11,0
1974-02-01,128912400,10.11,10.11,10.11,10.11,0
1974-03-01,131331600,10.11,10.11,10.11,10.11,0
1974-03-31,133999200,10.11,10.11,10.11,10.11,0
1974-05-01,136598400,10.11,10.11,10.11,10.11,0
1974-06-30,141861600,10.11,10.11,10.11,10.11,0
1974-08-01,144547200,10.11,10.11,10.11,10.11,0
1974-10-01,149817600,11.16,11.16,11.16,11.16,0
1974-11-01,152499600,11.16,11.16,11.16,11.16,0
1975-01-01,157770000,11.16,11.16,11.16,11.16,0
1975-04-01,165542400,11.16,11.16,11.16,11.16,0
1975-05-01,168134400,11.16,11.16,11.16,11.16,0
1975-07-01,173404800,11.16,11.16,11.16,11.16,0
1975-08-01,176083200,11.16,11.16,11.16,11.16,0
1975-08-31,178754400,11.16,11.16,11.16,11.16,0
1975-10-01,181353600,11.16,11.16,11.16,11.16,0
1975-12-01,186620400,11.16,11.16,11.16,11.16,0
1976-01-01,189306000,11.16,11.16,11.16,11.16,0
1976-03-01,194482800,12.1,12.1,12.1,12.1,0
1976-04-01,197164800,12.17,12.17,12.17,12.17,0
1976-06-01,202435200,12.17,12.17,12.17,12.17,0
1976-07-01,205027200,12.17,12.17,12.17,12.17,0
1976-09-01,210384000,13.9,13.9,13.9,13.9,0
1976-10-01,212976000,13.9,13.9,13.9,13.9,0
1976-11-01,215650800,13.9,13.9,13.9,13.9,0
1976-12-01,218250000,13.9,13.9,13.9,13.9,0
1977-02-01,223606800,13.9,13.9,13.9,13.9,0
1977-03-01,226026000,13.9,13.9,13.9,13.9,0
1977-04-01,228700800,13.9,13.9,13.9,13.9,0
1977-06-01,233971200,13.9,13.9,13.9,13.9,0
1977-07-01,236563200,13.9,13.9,13.9,13.9,0
1977-07-31,239234400,14.85,14.85,14.85,14.85,0
1977-09-01,241920000,14.85,14.85,14.85,14.85,0
1977-11-01,247194000,14.85,14.85,14.85,14.85,0
1977-12-01,249786000,14.85,14.85,14.85,14.85,0
1978-02-01,255142800,14.85,14.85,14.85,14.85,0
1978-03-01,257562000,14.85,14.85,14.85,14.85,0
1978-04-30,262821600,14.85,14.85,14.85,14.85,0
1978-06-01,265507200,14.85,14.85,14.85,14.85,0
1978-08-01,270777600,14.85,14.85,14.85,14.85,0
1978-09-01,273456000,14.85,14.85,14.85,14.85,0
1978-11-01,278730000,14.85,14.85,14.85,14.85,0
1978-12-01,281322000,14.85,14.85,14.85,14.85,0
1979-01-01,283993200,14.85,14.85,14.85,14.85,0
1979-02-01,286678800,15.85,15.85,15.85,15.85,0
1979-03-01,289098000,15.85,15.85,15.85,15.85,0
1979-05-01,294364800,18.1,18.1,18.1,18.1,0
1979-06-01,297043200,19.1,19.1,19.1,19.1,0
1979-08-01,302313600,26.5,26.5,26.5,26.5,0
1979-09-30,307576800,29,29,29,29,0
1979-11-01,310266000,31,31,31,31,0
1980-01-01,315536400,32.5,32.5,32.5,32.5,0
1980-02-01,318214800,37,37,37,37,0
1980-04-01,323395200,39.5,39.5,39.5,39.5,0
1980-05-01,325987200,39.5,39.5,39.5,39.5,0
1980-07-01,331257600,39.5,39.5,39.5,39.5,0
1980-08-01,333936000,38,38,38,38,0
1980-09-01,336607200,36,36,36,36,0
1980-10-01,339206400,36,36,36,36,0
1980-12-01,344473200,37,37,37,37,0
1981-01-01,347158800,38,38,38,38,0
1981-04-01,354931200,38,38,38,38,0
1981-05-01,357523200,38,38,38,38,0
1981-06-01,360194400,36,36,36,36,0
1981-07-01,362793600,36,36,36,36,0
1981-09-01,368150400,36,36,36,36,0
1981-10-01,370742400,35,35,35,35,0
1981-12-01,376016400,35,35,35,35,0
1982-01-01,378694800,33.85,33.85,33.85,33.85,0
1982-02-01,381366000,31.56,31.56,31.56,31.56,0
1982-03-01,383785200,28.48,28.48,28.48,28.48,0
1982-04-01,386467200,33.45,33.45,33.45,33.45,0
1982-06-01,391737600,35.07,35.07,35.07,35.07,0
1982-07-01,394329600,34.16,34.16,34.16,34.16,0
1982-09-01,399686400,35.63,35.63,35.63,35.63,0
1982-10-01,402278400,35.68,35.68,35.68,35.68,0
1982-11-01,404953200,34.15,34.15,34.15,34.15,0
1982-12-01,407552400,31.72,31.72,31.72,31.72,0
1983-02-01,412909200,28.95,28.95,28.95,28.95,0
1983-03-01,415328400,29.29,29.29,29.29,29.29,0
1983-04-01,418003200,30.63,30.63,30.63,30.63,0
1983-06-01,423273600,31.38,31.38,31.38,31.38,0
1983-07-01,425865600,32,32,32,32,0
1983-08-01,428536800,31.59,31.59,31.59,31.59,0
1983-09-01,431222400,30.36,30.36,30.36,30.36,0
1983-11-01,436496400,29.23,29.23,29.23,29.23,0
1983-12-01,439088400,29.6,29.6,29.6,29.6,0
1984-02-01,444445200,30.55,30.55,30.55,30.55,0
1984-03-01,446950800,30.85,30.85,30.85,30.85,0
1984-05-01,452217600,30.83,30.83,30.83,30.83,0
1984-06-01,454896000,29.75,29.75,29.75,29.75,0
1984-08-01,460166400,29.23,29.23,29.23,29.23,0
1984-09-30,465429600,28.46,28.46,28.46,28.46,0
1984-11-01,468118800,27.31,27.31,27.31,27.31,0
1985-01-01,473389200,26.41,26.41,26.41,26.41,0
1985-02-01,476067600,26.73,26.73,26.73,26.73,0
1985-03-01,478486800,28.29,28.29,28.29,28.29,0
1985-04-01,481154400,27.63,27.63,27.63,27.63,0
1985-05-01,483753600,27.84,27.84,27.84,27.84,0
1985-07-01,489016800,27.12,27.12,27.12,27.12,0
1985-08-01,491702400,28.08,28.08,28.08,28.08,0
1985-10-01,496972800,30.38,30.38,30.38,30.38,0
1985-11-01,499654800,29.75,29.75,29.75,29.75,0
1986-01-01,504925200,18.83,18.83,18.83,18.83,0
1986-04-01,512697600,13.34,13.34,13.34,13.34,0
1986-05-01,515289600,14.3,14.3,14.3,14.3,0
1986-07-01,520560000,11.15,11.15,11.15,11.15,0
1986-08-01,523238400,15.9,15.9,15.9,15.9,0
1986-09-01,525909600,14.77,14.77,14.77,14.77,0
1986-10-01,528508800,15.27,15.27,15.27,15.27,0
1986-12-01,533775600,17.94,17.94,17.94,17.94,0
1987-01-01,536461200,18.75,18.75,18.75,18.75,0
1987-04-01,544233600,18.73,18.73,18.73,18.73,0
1987-05-01,546825600,19.38,19.38,19.38,19.38,0
1987-06-01,549496800,20.29,20.29,20.29,20.29,0
1987-07-01,552096000,21.37,21.37,21.37,21.37,0
1987-09-01,557452800,19.59,19.59,19.59,19.59,0
1987-10-01,560044800,19.96,19.96,19.96,19.96,0
1987-12-01,565318800,16.7,16.7,16.7,16.7,0
1988-01-01,567997200,16.94,16.94,16.94,16.94,0
1988-02-01,570668400,16.01,16.01,16.01,16.01,0
1988-03-01,573181200,17.08,17.08,17.08,17.08,0
1988-04-01,575856000,17.99,17.99,17.99,17.99,0
1988-06-01,581126400,15.16,15.16,15.16,15.16,0
1988-07-01,583718400,16.31,16.31,16.31,16.31,0
1988-08-01,586389600,15.18,15.18,15.18,15.18,0
1988-09-01,589075200,13.37,13.37,13.37,13.37,0
1988-11-01,594349200,15.32,15.32,15.32,15.32,0
1988-12-01,596941200,17.24,17.24,17.24,17.24,0
1989-02-01,602298000,18.15,18.15,18.15,18.15,0
1989-03-01,604717200,16.5,19.73,16.5,19.58,0
1989-04-03,607557600,18.9,20.41,17.8,18.62,0
1989-05-01,609976800,18.7,18.8,16.68,17.64,0
1989-06-01,612662400,17.65,18.1,16,17.51,0
1989-07-03,615420000,17.58,18.2,16.4,16.67,0
1989-08-01,617932800,16.72,17.3,16.28,17.24,0
1989-09-01,620611200,17.17,18.2,17.11,18.16,0
1989-10-01,623282400,18.33,19.2,18.04,18.63,0
1989-11-01,625885200,18.82,19.15,18.07,18.49,0
1989-12-01,628477200,18.54,20.3,18.5,20.28,0
1990-01-01,631148400,20.2,22.28,18.65,19.57,0
1990-02-01,633834000,19.35,19.9,19.1,19.48,0
1990-03-01,636253200,19.48,19.68,18,18.38,0
1990-04-02,639007200,18.49,18.65,15.94,17.12,0
1990-05-01,641520000,17.2,18.16,16.1,16.24,0
1990-06-01,644198400,16.31,16.85,15.33,16.14,0
1990-07-02,646869600,16.83,19.85,15.53,19.84,0
1990-08-01,649468800,19.86,31.1,19.79,26.75,0
1990-09-03,652312800,27.6,39.15,27.6,39.1,0
1990-09-30,654732000,38.2,40.95,26.05,34.41,0
1990-11-01,657421200,34.7,35.18,27.95,29.2,0
1990-12-03,660178800,29,30.7,25.25,28.27,0
1991-01-01,662691600,28.1,29.5,17.9,20.06,0
1991-02-01,665370000,20.1,20.6,16,18.68,0
1991-03-01,667789200,18.5,19.78,17.4,18.17,0
1991-04-01,670456800,17.85,19.93,17.6,19.42,0
1991-05-01,673056000,19.35,20.37,19.09,19.21,0
